,Universités/Instituts Supérieurs,Catégories,Adresses,Départments,Villes,Names,Latitudes,Longitudes,Locations
59,Institut Universitaire des Sciences Juridiques et de Développement Régional (INUJED),Privé,443 route de Bel-Air Cap-Haïtien,Nord,Cap-Haïtien,Ecole de Droit de Fort-liberté,19.6566394,-71.8335819,"(19.6566394, -71.8335819)"
60,Institut Universitaire de Formations des Cadres (INUFOCAD),Privé,"Delmas. 9, Maïs Gaté 8, Linz Harry Village, Ave. Maïs Gaté",Ouest,Delmas,Ecole de Droit et des Sciences Economiques de Port-de-Paix,19.9408827,-72.829136,"(19.9408827, -72.829136)"
61,Université de Technologie dHaïti (UNITECH),Privé,"53, Angle Rue 4 et Avenue N.",Ouest,Port-au-prince,,,,
62,Institut Louis Pasteur (ILP),Privé,"22 Ave Magloire Ambroise, Port-au-Prince",Ouest,Port-au-prince,,,,
63,Institut Panaméricaine des Hautes Etudes en Gouvernance (HEG),Privé,"5, José-Marti",Ouest,Petion-Ville,,,,
64,Institut de Philosophie Saint François de Salles (IPSES),Privé,"Fleuriot, Tabarre 38, Impasse Audain, Port-au-Prince",Ouest,Tabarre,,,,
65,Institut Universitaire de lOuest (IUO),Privé,"6, Rue Duncombe, Bois-Verna",Ouest,Port-au-Prince,,,,
66,Ecole de Droit et de Notariat de Saint-Marc,Privé,Saint-Marc,Artibonite,Saint-Marc,,,,
67,Ecole Supérieure Catholique de Droit de Jérémie (ESCDROJ),Privé,"38 rue Brouette, Jeremie",Grande-Anse,Jeremie,,,,
68,Ecole Supérieure Isaac Newton (ESIN),Privé,Port-de-paix,Nord-Ouest,Port-au-Prince,,,,
69,Ecole Supérieure dInfotronique dHaïti (ESIH),Privé,"29, 2ème ruelle Nazon, Bourdon",Ouest,Port-au-Prince,,,,
70,Ecole Supérieure de Chimie (CHEMTEK),Privé,"#2, rue Assad, Turgeau",Ouest,Port-au-Prince,,,,
71,Centre dEtudes Diplomatiques et Internationales (CEDI),Privé,"7, Rue Théodule, Bourdon",Ouest,Port-au-Prince,,,,
72,Centre de Formation et de Développement Economique (CFDE),Privé,Angle Delmas 75 et Impasse Hérard # 3,Ouest,Delmas,,,,
73,Centre de Management et de Productivité (CMP),Privé,"Delmas 30, Port-au-Prince",Ouest,Delmas,,,,
74,Centre de Recherche en Finance et en Management (CREFIMA),Privé,"26, 3e Ave. du Travail",Ouest,Port-au-Prince,,,,
75,Centre dInformatique de Statistique et dAdministration (CISA),Privé,"316, Route de Bourdon, Port-au-Prince",Ouest,Port-au-Prince,,,,
76,Centre du Savoir Universel (CSU),Privé,"12, Impasse Lavisse, Avenue Christophe",Ouest,Port-au-Prince,,,,
77,Centre Universitaire Moderne dHaïti (CUMOH),Privé,"4, Rue Bonamy, Delmas 33",Ouest,Port-au-prince,,,,
78,Centre Universitaire Maurice Laroche (CUML),Privé,"16 Avenue Henri Cristophe, Port-au-Prince",Ouest,Port-au-Prince,,,,
79,Centre Universitaire Polytechnique dHaïti (CUPH),Privé,"Santo 20 #10, Croix-des-bouquets",Ouest,Croix-des-bouquets,,,,
80,Collège Universitaire de Christianville (CUC),Privé,"La Colline, Gressier, Ouest",Ouest,Gressier,,,,
81,Académie des Sciences Pures et Appliquées (ASPA),Privé,"154, Lalue ",Ouest,Port-au-Prince,,,,
82,Azure University (AU),Privé,"Delmas 33, parc Midore",Ouest,Delmas,,,,
83,Académie de Formation et de Perfectionnement des Cadres (AFPEC),Privé,"12, Rue Pacot, (entrée Rue 4)",Ouest,Port-au-Prince,,,,
84,Burnett International University (BIU),Privé,"13 Blvd 15 Octobre, en Face Tabarre 65",Ouest,Tabarre,,,,
85,Grand Séminaire Notre Dame (GSND),Privé,"110, rue Lafleur Ducheine ",Ouest,Port-au-Prince,,,,
86,Haïtian Education and Leadership Program (HELP),Privé,"# 4, Rue 5, Pacot, Port-au-Prince",Ouest,Port-au-Prince,,,,
87,Séminaire de Théologie Évangélique de Port-au-Prince (STEP),Privé,"261 Route des Dalles,Port-au-Prince",Ouest,Port-au-Prince,,,,
88,Spring Hill University (SHU),Privé,"46, RUE BERGEAU, DELMAS 18 ",Ouest,Delmas,,,,
89,Université Publique du Nord au Cap-Haïtien (UPNCH),Public,"Balan Habitation Baudin, Cap-Haïtien",Nord,Cap-Haïtien,,,,
90,Université Publique de lArtibonite aux Gonaïves (UPAG),Public,"45 rue Chrysostome Humbert, Gonaïves",Artibonite,Gonaïves,,,,
91,Université Publique du Sud aux Cayes (UPSAC),Public,"Campus de Laborde, Les Cayes BP 131, Les Cayes",Sud,Cayes,,,,
92,Université Publique du Sud-Est à Jacmel (UPSEJ),Public,"Route de Meyer, Jacmel, Haïti",Sud-Est,Jacmel,,,,
93,Université Publique du Nord-Ouest à Port-de-Paix (UPNOPP),Public,"121, rue Benito Sylvain, Port-de-Paix",Nord-Ouest,Port-de-Paix,,,,
94,Université Publique du Centre à Hinche et à Mirebalais (UPCHM),Public,Mirebalais,Centre,Mirebalais,,,,
95,Université Publique des Nippes (UPNIP),Public,"Numéro 20 route nationale, #2, Berquin, Miragoâne",Nippes,Miragoâne,,,,
96, Université Publique du Nord-Est (UPNE),Public,Fort-Liberté,Nord-Est,Fort-Liberté,,,,
97,Université Publique de la Grand-Anse (UPGA),Public,"Château, Jérémie, Grand'Anse",Grande-Anse,Jeremie,,,,
98,Université Publique du Bas Artibonite à Saint-Marc,Public,Saint-marc,Artibonite,Saint-marc,,,,
99,Centre de Techniques de Planification et dEconomie Appliquée (CTPEA),Public,"19, Boulevard Harry Truman, Port-au-Prince",Ouest,Port-au-Prince,,,,
